日付,球場,自TM,打者,席,結果,相手TM,投手,腕
3/31,マツダスタジアム,C,田中広輔,左,一ゴロ,T,メッセンジャー,右
3/31,マツダスタジアム,C,菊池涼介,右,遊安,T,メッセンジャー,右
3/31,マツダスタジアム,C,丸佳浩,左,空三振,T,メッセンジャー,右
3/31,マツダスタジアム,C,新井貴浩,右,左飛,T,メッセンジャー,右
3/31,マツダスタジアム,C,松山竜平,左,四球,T,メッセンジャー,右
3/31,マツダスタジアム,C,鈴木誠也,右,空三振,T,メッセンジャー,右
3/31,マツダスタジアム,C,安部友裕,左,二ゴロ,T,メッセンジャー,右
3/31,マツダスタジアム,C,石原慶幸,右,右安,T,メッセンジャー,右
3/31,マツダスタジアム,C,ジョンソン,左,右安,T,メッセンジャー,右
3/31,マツダスタジアム,C,田中広輔,左,捕邪飛,T,メッセンジャー,右
3/31,マツダスタジアム,C,菊池涼介,右,空三振,T,メッセンジャー,右
3/31,マツダスタジアム,C,丸佳浩,左,空三振,T,メッセンジャー,右
3/31,マツダスタジアム,C,新井貴浩,右,二ゴロ,T,メッセンジャー,右
3/31,マツダスタジアム,C,松山竜平,左,二飛,T,メッセンジャー,右
3/31,マツダスタジアム,C,鈴木誠也,右,一邪飛,T,メッセンジャー,右
3/31,マツダスタジアム,C,安部友裕,左,空三振,T,メッセンジャー,右
3/31,マツダスタジアム,C,石原慶幸,右,空三振,T,メッセンジャー,右
3/31,マツダスタジアム,C,會澤翼,右,左安,T,メッセンジャー,右
3/31,マツダスタジアム,C,田中広輔,左,四球,T,メッセンジャー,右
3/31,マツダスタジアム,C,菊池涼介,右,空三振,T,メッセンジャー,右
3/31,マツダスタジアム,C,丸佳浩,左,四球,T,メッセンジャー,右
3/31,マツダスタジアム,C,新井貴浩,右,空三振,T,メッセンジャー,右
3/31,マツダスタジアム,C,松山竜平,左,遊失,T,メッセンジャー,右
3/31,マツダスタジアム,C,鈴木誠也,右,右安,T,メッセンジャー,右
3/31,マツダスタジアム,C,安部友裕,左,右安,T,メッセンジャー,右
3/31,マツダスタジアム,C,エルドレッド,右,三安,T,メッセンジャー,右
3/31,マツダスタジアム,C,會澤翼,右,右飛,T,桑原謙太朗,右
3/31,マツダスタジアム,C,田中広輔,左,一失,T,桑原謙太朗,右
3/31,マツダスタジアム,C,菊池涼介,右,三飛,T,桑原謙太朗,右
3/31,マツダスタジアム,C,丸佳浩,左,一ゴロ,T,桑原謙太朗,右
3/31,マツダスタジアム,C,新井貴浩,右,左本(1),T,桑原謙太朗,右
3/31,マツダスタジアム,C,松山竜平,左,捕邪飛,T,髙橋聡文,左
3/31,マツダスタジアム,C,鈴木誠也,右,左２,T,髙橋聡文,左
3/31,マツダスタジアム,C,小窪哲也,右,一邪飛,T,髙橋聡文,左
3/31,マツダスタジアム,C,下水流昂,右,二ゴロ,T,髙橋聡文,左
3/31,マツダスタジアム,C,會澤翼,右,四球,T,マテオ,右
3/31,マツダスタジアム,C,田中広輔,左,二ゴロ,T,マテオ,右
3/31,マツダスタジアム,C,菊池涼介,右,三飛,T,マテオ,右
3/31,マツダスタジアム,C,丸佳浩,左,中安,T,マテオ,右
3/31,マツダスタジアム,C,新井貴浩,右,投失,T,マテオ,右
3/31,マツダスタジアム,C,松山竜平,左,遊ゴロ,T,マテオ,右
3/31,マツダスタジアム,C,鈴木誠也,右,左２,T,ドリス,右
3/31,マツダスタジアム,C,小窪哲也,右,三ゴロ,T,ドリス,右
3/31,マツダスタジアム,C,天谷宗一郎,左,空三振,T,ドリス,右
3/31,マツダスタジアム,C,會澤翼,右,三ゴロ,T,ドリス,右
4/1,マツダスタジアム,C,田中広輔,左,左安,T,岩貞祐太,左
4/1,マツダスタジアム,C,菊池涼介,右,四球,T,岩貞祐太,左
4/1,マツダスタジアム,C,丸佳浩,左,左本(3),T,岩貞祐太,左
4/1,マツダスタジアム,C,新井貴浩,右,右飛,T,岩貞祐太,左
4/1,マツダスタジアム,C,鈴木誠也,右,空三振,T,岩貞祐太,左
4/1,マツダスタジアム,C,エルドレッド,右,左２,T,岩貞祐太,左
4/1,マツダスタジアム,C,小窪哲也,右,四球,T,岩貞祐太,左
4/1,マツダスタジアム,C,石原慶幸,右,三ゴロ,T,岩貞祐太,左
4/1,マツダスタジアム,C,岡田明丈,左,見三振,T,岩貞祐太,左
4/1,マツダスタジアム,C,田中広輔,左,見三振,T,岩貞祐太,左
4/1,マツダスタジアム,C,菊池涼介,右,四球,T,岩貞祐太,左
4/1,マツダスタジアム,C,丸佳浩,左,右２,T,岩貞祐太,左
4/1,マツダスタジアム,C,新井貴浩,右,四球,T,岩貞祐太,左
4/1,マツダスタジアム,C,鈴木誠也,右,空三振,T,岩貞祐太,左
4/1,マツダスタジアム,C,エルドレッド,右,空三振,T,岩貞祐太,左
4/1,マツダスタジアム,C,小窪哲也,右,三ゴロ,T,岩貞祐太,左
4/1,マツダスタジアム,C,石原慶幸,右,二ゴロ,T,岩貞祐太,左
4/1,マツダスタジアム,C,堂林翔太,右,空三振,T,岩貞祐太,左
