自TM,相手TM,球場,日付,HA,ナ,先,順,途,交,CB,捕逸,代点,守備,名前,打率,打数,得点,安打,打点,三振,四死,犠打,盗塁,失策,本塁打,1回,2回,3回,4回,5回,6回,7回,8回,9回,10回,11回,12回
広島,阪神,マツダスタジアム,3/31,0,1,1,1,,,0,0,0,(遊),田中広輔,.000,4,1,0,1,0,1,0,0,1,0,一ゴロ,捕邪飛,,,四球,一失,,二ゴロ,,,,
広島,阪神,マツダスタジアム,3/31,0,1,2,2,,,0,0,0,(二),菊池涼介,.200,5,0,1,0,2,0,0,0,0,0,遊安,,空三振,,空三振,三飛,,三飛,,,,
広島,阪神,マツダスタジアム,3/31,0,1,3,3,,,0,0,0,(中),丸佳浩,.250,4,0,1,0,2,1,0,0,0,0,空三振,,空三振,,四球,一ゴロ,,中安,,,,
広島,阪神,マツダスタジアム,3/31,0,1,4,4,,走,0,0,0,(一),新井貴浩,.200,5,1,1,1,1,0,0,0,0,1,左飛,,二ゴロ,,空三振,,左本(1),投失,,,,
広島,阪神,マツダスタジアム,3/31,0,1,,4,走,,0,0,0,走一,堂林翔太,-,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
広島,阪神,マツダスタジアム,3/31,0,1,5,5,,,0,0,0,(左),松山竜平,.000,4,1,0,0,0,1,0,0,0,0,,四球,,二飛,,遊失,捕邪飛,遊ゴロ,,,,
広島,阪神,マツダスタジアム,3/31,0,1,6,6,,,0,0,0,(右),鈴木誠也,.600,5,1,3,0,1,0,0,0,0,0,,空三振,,一邪飛,,右安,左２,,左２,,,
広島,阪神,マツダスタジアム,3/31,0,1,7,7,,打,0,0,0,(三),安部友裕,.333,3,2,1,1,1,0,0,1,1,0,,二ゴロ,,空三振,,右安,,,,,,
広島,阪神,マツダスタジアム,3/31,0,1,,7,打,,0,0,0,打三,小窪哲也,.000,2,0,0,0,0,0,0,0,0,0,,,,,,,一邪飛,,三ゴロ,,,
広島,阪神,マツダスタジアム,3/31,0,1,8,8,,投,0,0,0,(捕),石原慶幸,.500,2,0,1,1,1,0,0,0,0,0,,右安,,,空三振,,,,,,,
広島,阪神,マツダスタジアム,3/31,0,1,,8,投,打,0,0,0,投,飯田哲矢,-,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
広島,阪神,マツダスタジアム,3/31,0,1,,8,打,投,0,0,1,打,エルドレッド,1.000,1,0,1,1,0,0,0,0,0,0,,,,,,三安,,,,,,
広島,阪神,マツダスタジアム,3/31,0,1,,8,投,打,0,0,0,投,ブレイシア,-,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
広島,阪神,マツダスタジアム,3/31,0,1,,8,打,投,0,0,0,打,下水流昂,.000,1,0,0,0,0,0,0,0,0,0,,,,,,,二ゴロ,,,,,
広島,阪神,マツダスタジアム,3/31,0,1,,8,投,打,0,0,0,投,薮田和樹,-,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
広島,阪神,マツダスタジアム,3/31,0,1,,8,打,,0,0,0,打,天谷宗一郎,.000,1,0,0,0,1,0,0,0,0,0,,,,,,,,,空三振,,,
広島,阪神,マツダスタジアム,3/31,0,1,9,9,,投,0,0,0,(投),ジョンソン,1.000,1,0,1,0,0,0,0,0,0,0,,右安,,,,,,,,,,
