自TM,相手TM,球場,日付,先,完投,完封,無四球,暴投,ボーク,基準,HA,ナ,回,攻撃,援護,分数,勝敗,名前,防御率,回数,打者,投球,安打,被本,三振,四死,失点,自責,T責除
広島,阪神,マツダスタジアム,3/31,1,0,0,0,0,0,8,0,1,9,3,1,3 2/3,●,ジョンソン,12.27,3.2,25,94,8,0,5,5,7,5,
広島,阪神,マツダスタジアム,3/31,,0,0,0,0,0,8,0,1,9,1,0,1 1/3,,中田廉,0.00,1.1,4,14,0,0,1,0,0,0,
広島,阪神,マツダスタジアム,3/31,,0,0,0,0,0,8,0,1,9,1,0,1    ,,飯田哲矢,9.00,1,7,34,2,0,2,2,1,1,
広島,阪神,マツダスタジアム,3/31,,0,0,0,0,0,8,0,1,9,1,0,1    ,,ブレイシア,0.00,1,5,15,3,0,0,0,0,0,
広島,阪神,マツダスタジアム,3/31,,0,0,0,0,0,8,0,1,9,2,0,2    ,,薮田和樹,9.00,2,10,33,3,1,0,1,2,2,
広島,阪神,マツダスタジアム,4/1,1,0,0,0,0,0,10,0,0,10,4,3,4    ,,岡田明丈,13.50,4,24,104,5,0,2,7,6,6,
広島,阪神,マツダスタジアム,4/1,,0,0,0,0,0,10,0,0,10,1,0,1 1/3,,中田廉,3.38,1.1,8,36,2,0,1,2,2,1,
広島,阪神,マツダスタジアム,4/1,,0,0,0,0,0,10,0,0,10,0,0,0 2/3,,薮田和樹,6.75,0.2,5,19,2,0,2,1,0,0,
広島,阪神,マツダスタジアム,4/1,,0,0,0,0,0,10,0,0,10,1,0,1    ,,今村猛,0.00,1,5,16,1,0,1,1,0,0,
広島,阪神,マツダスタジアム,4/1,,0,0,0,0,0,10,0,0,10,1,0,1    ,H,ジャクソン,0.00,1,5,23,1,0,2,1,0,0,
広島,阪神,マツダスタジアム,4/1,,0,0,0,0,0,10,0,0,10,2,0,2    ,○,中﨑翔太,0.00,2,8,43,0,0,3,3,0,0,
広島,阪神,マツダスタジアム,4/2,1,0,0,0,0,0,12,0,0,8,6,4,6    ,○,九里亜蓮,1.50,6,26,115,6,1,8,4,1,1,
広島,阪神,マツダスタジアム,4/2,,0,0,0,0,0,12,0,0,8,1,0,1    ,H,今村猛,0.00,1,3,14,0,0,2,0,0,0,
広島,阪神,マツダスタジアム,4/2,,0,0,0,0,0,12,0,0,8,1,0,1    ,,薮田和樹,4.91,1,3,14,0,0,1,1,0,0,
広島,阪神,マツダスタジアム,4/2,,0,0,0,0,0,12,0,0,8,1,0,1    ,,ブレイシア,0.00,1,6,22,1,0,0,1,0,0,
広島,中日,ナゴヤドーム,4/4,1,0,0,0,1,0,13,1,1,9,8,7,7    ,○,野村祐輔,1.29,7,25,99,4,1,7,1,1,1,
広島,中日,ナゴヤドーム,4/4,,0,0,0,0,0,13,1,1,9,2,0,1    ,,飯田哲矢,4.50,1,4,9,1,0,1,0,0,0,
広島,中日,ナゴヤドーム,4/4,,0,0,0,0,0,13,1,1,9,2,0,1    ,,中田廉,2.45,1,5,18,2,0,0,0,0,0,
広島,中日,ナゴヤドーム,4/5,1,0,0,0,0,0,15,1,1,12,7,2,6 1/3,,床田寛樹,4.26,6.1,29,109,9,0,6,1,3,3,
広島,中日,ナゴヤドーム,4/5,,0,0,0,0,0,15,1,1,12,1,0,0 2/3,,今村猛,0.00,0.2,2,7,0,0,0,0,0,0,
広島,中日,ナゴヤドーム,4/5,,0,0,0,0,0,15,1,1,12,2,0,1    ,,薮田和樹,3.86,1,5,18,1,0,1,1,0,0,
広島,中日,ナゴヤドーム,4/5,,0,0,0,0,0,15,1,1,12,2,0,1    ,H,ジャクソン,0.00,1,4,14,1,0,1,0,0,0,
広島,中日,ナゴヤドーム,4/5,,0,0,0,0,0,15,1,1,12,2,0,1    ,H,中﨑翔太,0.00,1,3,11,1,0,0,0,0,0,
広島,中日,ナゴヤドーム,4/5,,0,0,0,0,0,15,1,1,12,1,0,0 1/3,H,飯田哲矢,3.86,0.1,3,12,0,0,0,2,0,0,
広島,中日,ナゴヤドーム,4/5,,0,0,0,0,0,15,1,1,12,2,0,1 2/3,,中田廉,1.69,1.2,7,26,1,0,2,0,0,0,
広島,中日,ナゴヤドーム,4/6,1,0,0,0,0,0,17,1,1,11,7,3,6    ,,大瀬良大地,0.00,6,26,96,6,0,7,4,0,0,
広島,中日,ナゴヤドーム,4/6,,0,0,0,0,0,17,1,1,11,2,0,1    ,H,今村猛,2.45,1,4,14,2,1,0,0,1,1,
広島,中日,ナゴヤドーム,4/6,,0,0,0,0,0,17,1,1,11,2,0,1    ,H,ジャクソン,0.00,1,5,15,2,0,0,0,0,0,
広島,中日,ナゴヤドーム,4/6,,0,0,0,0,0,17,1,1,11,2,0,1    ,,中﨑翔太,4.50,1,6,27,3,0,0,0,2,2,
広島,中日,ナゴヤドーム,4/6,,0,0,0,0,0,17,1,1,11,2,0,1    ,○,薮田和樹,3.18,1,3,12,0,0,0,0,0,0,
広島,中日,ナゴヤドーム,4/6,,0,0,0,0,0,17,1,1,11,2,0,1    ,S,ブレイシア,0.00,1,5,14,2,0,0,0,0,0,
広島,ヤクルト,マツダスタジアム,4/7,1,0,0,0,0,0,20,0,1,8,8,4,8 1/3,○,加藤拓也,1.08,8.1,32,135,2,0,7,7,1,1,
広島,ヤクルト,マツダスタジアム,4/7,,0,0,0,0,0,20,0,1,8,0,0,0 2/3,S,中﨑翔太,3.86,0.2,3,11,1,0,0,0,0,0,
広島,ヤクルト,マツダスタジアム,4/8,1,0,0,0,0,0,22,0,0,8,8,2,8 1/3,○,岡田明丈,5.11,8.1,34,147,5,0,9,5,1,1,
広島,ヤクルト,マツダスタジアム,4/8,,0,0,0,0,0,22,0,0,8,0,0,0 2/3,S,ジャクソン,0.00,0.2,4,15,2,0,0,0,0,0,
広島,ヤクルト,マツダスタジアム,4/9,1,0,0,0,0,0,24,0,0,8,7,6,7    ,○,九里亜蓮,2.08,7,27,121,4,0,6,3,2,2,
広島,ヤクルト,マツダスタジアム,4/9,,0,0,0,0,0,24,0,0,8,1,0,1    ,,ジャクソン,0.00,1,6,21,2,0,0,1,0,0,
広島,ヤクルト,マツダスタジアム,4/9,,0,0,0,0,0,24,0,0,8,1,0,1    ,,中﨑翔太,3.18,1,4,15,2,0,1,0,0,0,
