FLG,日付,TM,1回,2回,3回,4回,5回,6回,7回,8回,9回,10回,11回,12回,計,安,失
ＤｅＮＡ/ヤクルト,03/31,ＤｅＮＡ,0,0,0,0,0,2,0,0,0,,,,2,5,1,
ＤｅＮＡ/ヤクルト,03/31,ヤクルト,0,0,0,2,1,0,3,3,,,,,9,15,0,
ロッテ/ソフトバンク,03/31,ロッテ,0,0,0,0,0,0,1,0,0,,,,1,6,1,
ロッテ/ソフトバンク,03/31,ソフトバンク,0,0,0,0,0,0,1,2,,,,,3,8,0,
楽天/オリックス,03/31,楽天,0,1,2,0,1,0,0,0,0,0,2,,6,9,0,
楽天/オリックス,03/31,オリックス,0,0,0,0,3,0,1,0,0,0,0,,4,10,2,
阪神/広島,03/31,阪神,2,0,3,2,0,1,0,0,2,,,,10,16,3,
阪神/広島,03/31,広島,0,1,0,0,0,3,1,1,0,,,,6,11,2,
西武/日本ハム,03/31,西武,0,2,0,0,0,4,1,0,1,,,,8,9,0,
西武/日本ハム,03/31,日本ハム,0,0,0,0,1,0,0,0,0,,,,1,5,2,
中日/巨人,03/31,中日,0,0,0,0,2,0,0,0,0,,,,2,7,0,
中日/巨人,03/31,巨人,2,0,2,0,2,0,0,0,,,,,6,10,1,
ＤｅＮＡ/ヤクルト,04/01,ＤｅＮＡ,1,0,1,0,0,4,0,0,0,,,,6,10,0,
ＤｅＮＡ/ヤクルト,04/01,ヤクルト,0,0,0,1,0,0,0,0,0,,,,1,4,0,
ロッテ/ソフトバンク,04/01,ロッテ,0,0,0,0,0,0,0,0,1,,,,1,5,1,
ロッテ/ソフトバンク,04/01,ソフトバンク,1,0,0,2,0,1,0,0,,,,,4,8,1,
楽天/オリックス,04/01,楽天,0,1,4,0,0,0,2,0,6,,,,13,14,0,
楽天/オリックス,04/01,オリックス,0,1,0,0,0,1,0,0,2,,,,4,10,0,
阪神/広島,04/01,阪神,4,2,0,0,0,2,0,0,0,0,,,8,11,4,
阪神/広島,04/01,広島,3,0,0,0,2,2,1,0,0,1,,,9,10,1,
西武/日本ハム,04/01,西武,0,0,0,1,0,0,0,0,0,,,,1,9,0,
西武/日本ハム,04/01,日本ハム,0,0,2,0,1,0,0,0,,,,,3,10,1,
中日/巨人,04/01,中日,0,0,1,1,0,0,0,0,0,,,,2,8,0,
中日/巨人,04/01,巨人,0,0,0,0,0,0,1,0,3,,,,4,6,1,
ＤｅＮＡ/ヤクルト,04/02,ＤｅＮＡ,1,0,2,0,1,0,0,0,0,0,,,4,6,2,
ＤｅＮＡ/ヤクルト,04/02,ヤクルト,2,0,2,0,0,0,0,0,0,4,,,8,11,0,
ロッテ/ソフトバンク,04/02,ロッテ,0,0,0,0,2,1,0,0,0,,,,3,5,0,
ロッテ/ソフトバンク,04/02,ソフトバンク,0,1,1,0,0,0,3,0,,,,,5,8,0,
楽天/オリックス,04/02,楽天,0,0,0,0,0,0,0,3,2,,,,5,11,2,
楽天/オリックス,04/02,オリックス,0,2,0,2,0,0,0,0,0,,,,4,6,0,
阪神/広島,04/02,阪神,0,0,1,0,0,0,0,0,0,,,,1,7,1,
阪神/広島,04/02,広島,2,0,2,0,0,0,5,0,,,,,9,15,2,
西武/日本ハム,04/02,西武,0,0,0,1,4,0,0,1,0,,,,6,7,0,
西武/日本ハム,04/02,日本ハム,0,0,0,1,1,1,0,0,0,,,,3,8,2,
中日/巨人,04/02,中日,1,0,0,1,0,0,1,0,0,,,,3,8,0,
中日/巨人,04/02,巨人,0,0,0,2,0,4,0,0,,,,,6,8,1,
オリックス/西武,04/04,オリックス,0,0,2,0,4,0,0,1,0,,,,7,11,1,
オリックス/西武,04/04,西武,2,0,0,0,1,0,0,0,0,,,,3,6,0,
ソフトバンク/楽天,04/04,ソフトバンク,0,0,0,0,0,1,0,0,0,,,,1,7,0,
ソフトバンク/楽天,04/04,楽天,0,0,1,6,0,0,0,0,,,,,7,7,0,
ヤクルト/阪神,04/04,ヤクルト,1,0,1,0,0,0,0,0,1,,,,3,7,1,
ヤクルト/阪神,04/04,阪神,0,0,0,0,0,1,0,0,0,,,,1,7,0,
巨人/ＤｅＮＡ,04/04,巨人,0,0,1,0,0,0,0,4,0,,,,5,7,0,
巨人/ＤｅＮＡ,04/04,ＤｅＮＡ,0,0,1,0,0,0,0,1,0,,,,2,8,1,
広島/中日,04/04,広島,0,3,0,0,0,4,0,0,0,,,,7,12,1,
